Stride;Time (mm:ss);Duration;Strike power;Gait;Speed;Max. height;Length;Hand;Lateral balance;Longitudinal balance;Energy;BPM
1282;678.89;410 ms;2.2 G;canter;435 m/min;7 cm;2.97 m;S;1.8 º (R);-1.9 º (F);735.16;
1283;679.33;440 ms;3.2 G;canter;454 m/min;10 cm;3.33 m;R;3.7 º (R);-4.2 º (F);1505.16;
1284;680.64;290 ms;3.9 G;canter;501 m/min;4 cm;2.42 m;R;8.7 º (R);-11.2 º (F);2088.47;
1285;681.26;620 ms;2.6 G;canter;475 m/min;7 cm;4.91 m;R;6.4 º (R);-0.6 º (F);1690.35;
1286;681.69;430 ms;1.6 G;canter;539 m/min;4 cm;3.87 m;R;9.6 º (R);-3.4 º (F);1005.19;
1287;682.07;380 ms;2.3 G;canter;546 m/min;5 cm;3.46 m;R;14.5 º (R);-1.8 º (F);1240.26;
1288;682.64;570 ms;3.4 G;canter;560 m/min;13 cm;5.32 m;R;12.9 º (R);1.6 º (B);2420.27;
1289;683.12;480 ms;3.1 G;canter;561 m/min;11 cm;4.49 m;R;13.7 º (R);1.2 º (B);1787.01;
1290;683.65;530 ms;2.5 G;canter;588 m/min;14 cm;5.2 m;R;11.6 º (R);2.7 º (B);2121.42;
1291;684.15;500 ms;2.4 G;canter;573 m/min;12 cm;4.77 m;R;11.7 º (R);1.1 º (B);1762.51;
1292;684.65;500 ms;3.1 G;canter;592 m/min;13 cm;4.93 m;R;10.1 º (R);0.1 º (B);2235.87;
1293;685.17;520 ms;2.8 G;canter;563 m/min;14 cm;4.88 m;S;3.8 º (R);1 º (B);2139.73;
