Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;3;Stride;0.13;-;3.02;3.54;377;11.75 (R) ;10.56 (B) ;;2.15;
;4;Stride;0.22;-;2.37;5.29;250;11.78 (R) ;12.93 (B) ;;2.06;
;5;Stride;0.15;-;0.99;3.47;119;-4.58 (L) ;5.34 (B) ;;0.8;
;-5;Stride;0.16;-;2.84;3.35;328;6.61 (R) ;-2.31 (F) ;;1.59;
;-4;Stride;0.18;-;2.9;3.48;316;8.74 (R) ;2.47 (B) ;;1.53;
;-3;Stride;0.16;-;3.12;2.85;329;5.59 (R) ;6.44 (B) ;;1.73;
;-2;Stride;0.1;-;2.87;1.56;344;2.8 (R) ;5.19 (B) ;;0.83;
;-1;Stride;0.09;-;3.02;1.7;362;1.65 (R) ;-1.35 (F) ;;1.35;
14c;28;Jump;-;1.63;6.82;5.96;365;6.19 (R) ;undefined ;37.42;6.23;
;1;Stride;0.11;-;1.97;1.89;455;5.7 (R) ;-19.94 (F) ;;1.27;
;2;Stride;0.14;-;4.3;2.88;438;-6.24 (L) ;-2.21 (F) ;;2.73;
;3;Stride;0.12;-;3.52;1.87;449;-11.78 (L) ;-6.13 (F) ;;1.58;
;4;Stride;0.09;-;4.34;2.25;473;-7.09 (L) ;-3.85 (F) ;;1.72;
;5;Stride;0.1;-;4.18;2.95;482;-4.39 (L) ;-5.13 (F) ;;2.03;
;-5;Stride;0.16;-;4.75;3.2;509;-5.55 (L) ;-4.01 (F) ;;2.79;
;-4;Stride;0.13;-;4.39;5.4;507;-8.76 (L) ;-2.6 (F) ;;2.81;
;-3;Stride;0.12;-;4.59;3.63;520;-5.29 (L) ;-0.85 (F) ;;2.39;
;-2;Stride;0.1;-;4.1;3.77;523;-2.28 (L) ;-1.91 (F) ;;2.59;
;-1;Stride;0.14;-;4.19;3.4;524;-0.96 (L) ;-2.29 (F) ;;3.09;
15;29;Jump;-;1.7;8.91;11.07;486;-5.4 (L) ;undefined ;34.82;10.51;
;1;Stride;0.1;-;2.1;1.96;573;0;-20.75 (F) ;;1.65;
;2;Stride;0.11;-;5.67;3.41;576;2.08 (R) ;-5.1 (F) ;;2.42;
;3;Stride;0.09;-;4.99;3.55;599;2.77 (R) ;-6.4 (F) ;;2.26;
;4;Stride;0.14;-;5.1;3.93;577;1.36 (R) ;-7.83 (F) ;;3.63;
;5;Stride;0.13;-;5.57;4.78;586;-0.29 (L) ;-6.87 (F) ;;3.59;
;-5;Stride;0.2;-;4.09;4.71;430;5.17 (R) ;-2.09 (F) ;;2.85;
;-4;Stride;0.14;-;3.66;3.25;415;10.61 (R) ;1 (B) ;;2.3;
;-3;Stride;0.16;-;3.64;2.81;420;12.69 (R) ;4.91 (B) ;;1.69;
;-2;Stride;0.13;-;3.85;3.3;420;11.24 (R) ;2.43 (B) ;;2.11;
;-1;Stride;0.1;-;3.17;2.16;442;7.85 (R) ;-4.35 (F) ;;1.29;
16;30;Jump;-;1.7;7.43;7.14;395;4.52 (R) ;undefined ;35.07;7.4;
;1;Stride;0.07;-;2;2.24;481;-4.64 (L) ;-16.37 (F) ;;1.44;
;2;Stride;0.08;-;4.24;2.04;480;-0.52 (L) ;-2.62 (F) ;;1.96;
;3;Stride;0.09;-;4.5;2.19;519;3.34 (R) ;-5.61 (F) ;;1.99;
;4;Stride;0.12;-;5.08;2.81;575;4.56 (R) ;-8.77 (F) ;;3.02;
;5;Stride;0.11;-;5.36;3.41;619;6.94 (R) ;-8.25 (F) ;;2.36;
;-5;Stride;0.11;-;3.81;2.28;416;4.02 (R) ;-2.92 (F) ;;1.25;
;-4;Stride;0.18;-;4.15;3.67;452;5.11 (R) ;-8.83 (F) ;;2.37;
;-3;Stride;0.18;-;4.42;3.14;474;8.47 (R) ;-8.56 (F) ;;2.63;
;-2;Stride;0.2;-;4.6;5.55;502;6.6 (R) ;-3.74 (F) ;;3.53;
