Stride;Time (mm:ss);Duration;Strike power;Gait;Speed;Max. height;Length;Hand;Lateral balance;Longitudinal balance;Energy;BPM
3802;2005.94;560 ms;3.1 G;canter;596 m/min;13 cm;5.56 m;S;0.2 º (R);-4.7 º (F);3026.32;
3803;2006.45;510 ms;4.4 G;canter;570 m/min;12 cm;4.85 m;S;3.2 º (R);-4.9 º (F);1853.73;
3804;2007;550 ms;4.6 G;canter;542 m/min;14 cm;4.97 m;S;-0.1 º (L);-1.9 º (F);2432.27;
3805;2007.54;540 ms;4.3 G;canter;552 m/min;14 cm;4.96 m;S;-1.4 º (L);-4 º (F);2371.15;
3806;2008.08;540 ms;3.7 G;canter;532 m/min;11 cm;4.79 m;S;1.2 º (R);-5.3 º (F);2211.27;
3807;2008.65;570 ms;4.3 G;canter;527 m/min;15 cm;5.01 m;S;-0.9 º (L);-4.3 º (F);2179.18;
3808;2009.16;510 ms;2.6 G;canter;513 m/min;9 cm;4.36 m;S;-1 º (L);-4 º (F);1467.69;
3809;2009.73;570 ms;2.8 G;canter;518 m/min;16 cm;4.92 m;S;-0.4 º (L);-3.4 º (F);2456.41;
3810;2010.28;550 ms;3.3 G;canter;460 m/min;14 cm;4.22 m;S;0.9 º (R);-2.2 º (F);2205.4;
3811;2010.83;550 ms;3.3 G;canter;473 m/min;11 cm;4.34 m;S;-0.7 º (L);-5 º (F);1915.98;
3812;2011.36;530 ms;4.5 G;canter;475 m/min;14 cm;4.2 m;S;-0.5 º (L);-5 º (F);1813.02;
3813;2011.91;550 ms;2.8 G;canter;433 m/min;15 cm;3.97 m;S;-0.5 º (L);-3 º (F);2312.62;
3814;2012.53;620 ms;2.6 G;canter;382 m/min;14 cm;3.95 m;S;-0.1 º (L);-3.1 º (F);1963.16;
3815;2013.06;530 ms;2.5 G;canter;373 m/min;11 cm;3.3 m;S;0.7 º (R);-7.5 º (F);1217.16;
3816;2013.68;620 ms;3.2 G;canter;398 m/min;19 cm;4.12 m;S;2.8 º (R);-4.9 º (F);2592.74;
3817;2014.25;570 ms;3.1 G;canter;389 m/min;19 cm;3.69 m;S;4.3 º (R);-2.9 º (F);1515.25;
3818;2014.8;550 ms;3.8 G;canter;379 m/min;16 cm;3.48 m;S;-1.3 º (L);-3.3 º (F);1703.32;
3819;2015.37;570 ms;3.4 G;canter;308 m/min;14 cm;2.92 m;S;1.2 º (R);8.4 º (B);1151.59;
3820;2015.87;500 ms;1.7 G;canter;311 m/min;10 cm;2.59 m;S;1.1 º (R);-0.1 º (F);912.56;
3821;2016.36;490 ms;3.1 G;canter;324 m/min;12 cm;2.65 m;S;1.9 º (R);-6.2 º (F);1458.39;
3822;2017.75;330 ms;2.6 G;canter;380 m/min;6 cm;2.09 m;R;3.9 º (R);-23.8 º (F);426.52;
3823;2018.29;540 ms;3.4 G;canter;348 m/min;14 cm;3.14 m;L;-4.2 º (L);-8.6 º (F);1609.55;
3824;2018.92;630 ms;2.3 G;canter;295 m/min;23 cm;3.1 m;S;-1.5 º (L);-10.6 º (F);982.21;
3825;2019.43;510 ms;3.4 G;canter;309 m/min;9 cm;2.63 m;S;-3.4 º (L);-15.1 º (F);1091.13;
3826;2019.99;560 ms;6.3 G;canter;304 m/min;16 cm;2.84 m;S;0.2 º (R);-4 º (F);1587.19;
3827;2020.5;510 ms;1.7 G;canter;319 m/min;9 cm;2.72 m;S;0.3 º (R);-6.9 º (F);905.57;
3828;2022.17;470 ms;2.8 G;canter;330 m/min;4 cm;2.59 m;S;1.8 º (R);-12.9 º (F);1292.45;
